date, pm25, pm10, o3, no2, so2, co
2015/7/31, 3, 1, 23, 1, 20, 5
2015/8/1, 3, 1, 24, , 26, 3
2015/8/2, 2, 1, 27, 1, 24, 4
2015/8/3, 3, 1, 27, 1, 24, 5
2015/8/4, 4, 1, 37, 1, 23, 5
2015/8/5, 4, 2, 39, , 22, 6
2015/8/6, 5, 2, 41, 1, 22, 10
2015/8/7, 5, 3, 42, 1, 22, 10
2015/8/8, 8, 3, 39, 1, 22, 9
2015/8/9, 8, 3, 39, 1, 21, 9
2015/8/10, 8, 2, 51, 1, 21, 7
2015/8/11, 8, 3, 63, 1, 21, 7
2015/8/12, 7, 2, 48, 1, 25, 7
2015/8/13, 5, 2, 44, 1, 26, 6
2015/8/14, 5, , , , , 
2015/8/17, 7, 3, 43, 1, 23, 6
2015/8/18, 6, 2, 43, 1, 21, 6
